EcosystemType,Paper,TimesMentioned,Reviewer,PaperType,PeerReview,Nation,OceanRegion,ResilienceCat,ResilienceOutcome,ResilienceResponse,GivenDefinitionResilience,ResilienceDefinition,StudyLength,DISTURBANCE COMPILED,DisturbType1,DisturbLength1,DisturbType2,DisturbLength2,DisturbancePeriodDescription,DisturbYRstart,DisturbYRend,RecoveryTime,FactorsContributingResilience,MostImportantFactor1,MostImportFactor2,FactorsPreventingResilience1,FactorsPreventingResilience2,Comments,prevResRE,prevRes2RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Dayton et al Ecol Mono 1984,1,Jennifer,Empirical,Yes,USA,Pacific,ResistanceAndRecovery,Context-Dependent,HabitatFormingSpp,Resilience refers to the return of a patch to its original composition following a perturbation sufficient to allow colonization by different species (Type III perturbation of Sutherland [1981]).,Yes,11-20 yrs,>2 stressors,>2 stressors,Ongoing,Storms,hours-days (<1 week),also experimental clearings,,,,,Adequate recruitment/connectivity,,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)",,"resilience in the sense of re- coverability and of a more global stability is strongly dependent upon oceanographic factors such as tem- perature, nutrients, and water visibility, all of which are strongly influenced by longshore currents, by cross- shore transfer via internal waves, by local weather con- ditions, and even by large-scale climatological events",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"Cantin NE and JM Lough (2014) PLos One (9), doi:10.1371/jourl.pone.0088720",1,Charlie,Empirical,Yes,Australia,Pacific,ResistanceAndRecovery,Yes,HabitatFormingSpp,N/A,No,decades (21-100 yrs),Temperature,Temperature,1-5 yrs,Storms,,1998 and 2002,,,1-5 yrs,energetic reserves and prior condition to exposure,Remoteness/low accessibility by humans,Adequate remaining biogenic habitat,Additional global climatic stressors,,"Calcification rates and growth of massive corals can recover despite frequent thermal disturbances and bleaching. However, their data show that this response is spatially variable and dependent on the intensity of disturbance. Based on their results, they suggest revisting models that have projected declines in calcification rates due to global warming.",Global stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"Guzmˆn, H.M. & J. Cort_s. 2001. Changes in reef community structure after fifteen years of tural disturbances in the eastern Pacific (Costa Rica). Bulletin of Marine Science, 69: 133-149.",1,Charlie,Empirical,Yes,Costa Rica,Pacific,ResistanceAndRecovery,Yes,HabitatFormingSpp,,No,11-20 yrs,Temperature,Temperature,months (<1 yr),,,"1982-1983, 1985, 1987, 1990-1995, 1998",1982,1989,11-20 yrs,"recruitment, depth distribution, good crustose coralline algal cover",Adequate recruitment/connectivity,Adequate remaining biogenic habitat,,,data shows greater resistence to bleaching and mortality with depth indicating depth refuge. Depth refuge with good recruitment pulses provided good evidence of the system recovering even under repeated disturbances.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Smith, BioScience, 1994",1,Jennifer,Empirical,Yes,USA,Atlantic,ResistanceAndRecovery,Context-Dependent,HabitatFormingSpp,,No,months (<1 yr),Storms,Storms,,,,,1992,1992,,,Other,,Other,,"About loss, not recovery.  trees that survived were short.",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Smith, Wetlands, 2009",1,Jennifer,Empirical,Yes,USA,Atlantic,ResistanceAndRecovery,Context-Dependent,HabitatFormingSpp,,No,11-20 yrs,Storms,Storms,,,,,1992,2005,,,Physical setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,Dahdouh-Guebas.etal.2004,1,Jennifer,Empirical,Yes,Kenya,Western Indian Ocean,ResistanceAndRecovery,No,HabitatFormingSpp,,No,decades (21-100 yrs),non climatic,non climatic,Ongoing,,,,,,,,Other,,,,Other pressure = human harvest; other beneficial = not desired for harvest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Vogt, Aquatic Botany, 2012 Investigating the role of impoundment and forest structure on the resistance and resilience of mangrove forests to hurricanes",1,talie,Empirical,Yes,United States,Atlantic,ResistanceAndRecovery,Yes,HabitatFormingSpp,,,1-5 yrs,Storms,Storms,hours-days (<1 week),,,2004,,,1-5 yrs,"Tree sizes and densities (both for resistance and recovery), species composition",Adequate recruitment/connectivity,,,,"Studies were done in impoundment areas where flood cycle had been altered, leading to species composition shifts decline of black mangrove, domince of red). Some evidence that black mangrove was less resistant to hurricane disturbance than red.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,"Kendrick, G.A., Hegge, B.J., Wyllie, A., Davidson, A., Lord, D.A. 2000. Changes in seagrass cover on Success and Parmelia Banks, Western Australia between 1965 and 1995. Estuarine, Coastal and Shelf Sciences 50: 341-353.",1,Jennifer,Empirical,Yes,Australia,Indian,ResistanceAndRecovery,Yes,HabitatFormingSpp,,No,decades (21-100 yrs),non climatic (nutrients),non climatic (nutrients),Ongoing,Habitat degradation,Ongoing,ongoing?,,,,rhizome spread (hypothesized) and coalescence of smaller patches,Adequate remaining biogenic habitat,,,,"mapping exercise documents 573 ha of increaseversus 44 ha of loss in seagrass cover over an area of2391 ha on Success Bank, and 166 ha of increaseversus 202 ha of loss in seagrass cover over an area of1583 ha on Parmelia Bank, over a 30-year period(1965_1995)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Rogers-Bennett et al. 2002 CalCOFI Rep 43,1,Jennifer,Empirical,Yes,USA,Pacific,Recovery,No,MobileInverts,N/A,No,11-20 yrs,Non-climatic (fishing),Non-climatic (fishing),decades (21-100 yrs),,,,,1997,,,,,,,No recovery in abalone found.  Still depleted in 2002.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Quintana, XD, Jourl of Plankton Research, 2002",1,Jennifer,Empirical,Yes,Spain,Mediterranean,Recovery,Yes,MobileInverts,,No,1-5 yrs,Storms,Storms,hours-days (<1 week),Sea level rise/hydrodymic change,hours-days (<1 week),,,,,,,,,,No info on recovery time or factors related to recovery given.  Recovery is of zooplankton community composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,Whanpetch et al. 2010_ECSS_87_246-252,1,Kristy,Empirical,Yes,Thailand,Indian (Adaman Sea),Recovery,Yes,MobileInverts,,No,1-5 yrs,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,N/G,,,2004,2004,2004,months (<1 yr),Presence of seagrass prevented loss of macrofaunal community,Beneficial species interactions,Adequate remaining biogenic habitat,Other,,"The authors sampled macrofauna diversity at two seagrass sites before and after the Tsunami. At one site, the Tsunami's effects were huge - and it ripped out all of the vegetation. Thus, at this site, the presence of seagrass had no effect on recovery or diversity. At the other site, the Tsunami's effects were more moderate. Here, the seagrass stayed intact and the authors hypothesize that the seagrass was able to buffer some of the physical disturbance and help the macrofaunal community resist the effects. The authors primarily talk about recovery, but I would call this resistance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"GASCÓN, S., BOIX, D., SALA, J. & QUINTA, X.D. 2006. Nematode assemblages and their responses to disturbances: a case study from the Empordš wetlands (NE Iberian Peninsula). Jourl of North American Benthological Society, 25 (3): 643_655.",1,Jennifer,Empirical,Yes,Spain,Mediterranean,Resistance,Yes,MobileInverts,,No,months (<1 yr),non climatic (nutrient input),non climatic (nutrient input),Ongoing,,,,,,,,Physical setting,Genetic diversity/adaptation,,,Was looking at whether nemotode taxonomic distribution was indicative of disturbance.  Was not. Hypothesize that life history traits maybe better predictor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Morris, J.T., P.V. Sundareshwar, C.T. Nietch, B. Kjerfve, and D.R. Cahoon. 2002. Responses of coastal wetlands to rising sea level. Ecology 83: 2869_2877.",2,Jo,Empirical,Yes,United States,Atlantic Ocean,Resistance,Context-Dependent,NonBiogenicHabitat,,,1-5 yrs,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,> 100 yrs,,,,,,,"Elevation of the saltmarsh relative to mean sea level, sediment load, tidal range",Physical setting,,Other,,"Based on theoretical model, every saltmarsh there is an optimum elevation and optimum rate of sea level rise for maximum productivity. Saltmarshes that are situated higher than its optimum elevation may have higher resilience to sea level rise.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Baumann, RH., Day, JW, Miller, CA, Mississippi deltaic wetland survival: sedimentation versus coastal submergence. Science, 1984",1,Jo,Empirical,Yes,United States,Gulf of Mexico,Resistance,No,NonBiogenicHabitat,,,1-5 yrs,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,decades (21-100 yrs),,,Damming in 1904 and building of levees in 1927,1904,,,"High, constant sediment influx brought on by annual spring river flood keeping up with relative sea level rise",Conservation and magement measures,,"Lack of sufficient constant sediment influx, land sibsidence, erosion from storms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Reed.etal.2000,1,Kerry,Empirical,Yes,USA,Pacific,Recovery,Yes,SessileInverts,N/A,No,6-10 yrs,ENSO,ENSO,1-5 yrs,Storms,,1982-1984,1982,1984,1-5 yrs,"large dispersal potential, oceanographic region",Adequate recruitment/connectivity,Physical setting,Space preemption preventing recovery,,"This study focused on invertebrate data from the Channel Islands tiol Park. Invertebrates were affected by storms during ENSO and abundances afterward were tracked. DIfferences between sites, and differences between species with low vs intermediate vs high dispersal durations. Need more categories for response - sessile an mobile inverts. also i don't like factors preventing resilience categories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,"Mann, R, Jourl of Shellfish Research, 2009",1,Fio,Empirical,Yes,USA,Atlantic,Recovery,No,SessileInverts,,,11-20 yrs,non climatic (disease),non climatic (disease),1-4 weeks (<1 month),,,"1994, 1995, 1999-2002",,,,,,,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)",,link of desease to climate because outbreaks occur during high salinity conditions (low flow years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,"Livingston, Bull Mar Sci, 1999",1,Fio,Empirical,Yes,USA,Atlantic,Recovery,Yes,SessileInverts,"Resilience refers to the degree, manner, and pace of restoration of the initial system function and structure following a disturbance (Westman, 1978).",Yes,11-20 yrs,Storms,Storms,hours-days (<1 week),,,1985,,,1-5 yrs,"recruitment, timing of disturbance relative to spawning, decreased competition from decreased densities",Adequate recruitment/connectivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,Lenihan ecol mono 1999,1,Fio,Empirical,Yes,USA,Atlantic,Resistance,Yes,SessileInverts,,,1-5 yrs,non climatic (hypoxia),non climatic (hypoxia),1-4 weeks (<1 month),,,"summer, yearly",,,,physical setting (depth),Physical setting,,,,disturbance not strictly climatic (associated with anthropogenic eutrophication and seasol water column stratification). But: predicted to increase in severity with warming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Wernberg. ture Climate Change. 2013,1,Jennifer,Empirical,Yes,Australia,Indian Ocean,Recovery,No,WholeCommunity,,No,1-5 yrs,Temperature,Temperature,months (<1 yr),,,,2011,2011,,,Genetic diversity/adaptation,,,,"Focused on whole community, but discussed seaweeds. Recovery not tracked because study ended with disturbance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Ebeling.etal.1985,2,Kerry,Empirical,Yes,USA,Pacific,Recovery,Yes,WholeCommunity,N/A,No,1-5 yrs,Storms,Storms,1-4 weeks (<1 month),,,1980 and 1983,1980,1983,1-5 yrs,"second storm to wipe out urchins, kelp recruitment",Physical setting,Beneficial species interactions,Other,,"During 1980 storm Macrocystis decimated. What was left over and what recruited the following year was eaten by urchins, turned into urchin barren. Took second storm in 1983 to get rid of urchins and then kelp came back. This paper was about whole community, not just Macrocystis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Emslie et al 2008 MEPS,1,Nick,Empirical,Yes,Australia,Pacific,Recovery,Yes,WholeCommunity,,,11-20 yrs,Storms,Storms,hours-days (<1 week),,,1993-2005,,,6-10 yrs,Recruitment and growth of fast growing corals,,,,,Main focus of the paper was assessing effects of coral recovery crossed with differences in underlying structural complexity on reef fish assemblages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Dahdouh-Guebas et al., Transitions in ancient inland freshwater resource magement in Sri Lanka affect biota and human populations in and around coastal lagoons. Current Biology, 2005",1,Paul,Empirical,Yes,Sri Lanka,Indian,Recovery,No,WholeCommunity,,,decades (21-100 yrs),non-climatic (salinity),non-climatic (salinity),decades (21-100 yrs),,,1964-81,,,,,,,Additional local anthropogenic stressors,,"Increased freshwater due to changes in large scale irrigation magemnt, in shallow lagoons increases mangrove forested area itself, though disproportiotely increases the prevalence of eurytopic invasive communities within the mangrove forest, displacing strict mangrove associated species.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"DeLeeuw et at. 1994, Hydrobiologia 238: 335-353",1,Jo,Empirical,Yes,The Netherlands,"Oosterschelde estuary, North Sea",Recovery,Context-Dependent,WholeCommunity,,,6-10 yrs,>2 stressors,non-climatic (man made barrier),decades (21-100 yrs),Temperature,,Started in 1986,1986,,,,,,Additional global climatic stressors,,"Following permanent tidal restriction, all plot species compositions moved to compositions reflective of a position higher up in the marsh within 3-4 years. Species composition was strongly predicted by inundation times.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Zedler, J. B. and J. M. West. 2008. Declining diversity in tural and restored salt marshes: A 30-year study of Tijua Estuary. Restoration Ecology 16:249-262.",1,Jo,Empirical,Yes,United States,Pacific Ocean,Recovery,No,WholeCommunity,,,decades (21-100 yrs),non climatic (sedimentation),non climatic (sedimentation),Multiple scales,Nutrient input/Pollution/Sedimentation,,1984,1984,1984,,"Factors that favour higher diversity: topographic heterogeneity, maintaining tidal flushing, fewer catastrophic events, sediment control upstream",Physical setting,Conservation and magement measures,Other,,"The saltmarsh being studied experienced diversity loss due to a pulse and a ramp disturbance. Diversity had not recovered after 30 years, even with active restoration. The loss in diversity was attributed to disturbances associated with increasing storminess (catastrophic storms, flooding, and sedimentation) as opposed to benign conditions of decades before 1974.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Allison 2004, Ecol Monogr 74:117_134",1,Jennifer,Empirical,Yes,USA,Pacific,ResistanceAndRecovery,Context-Dependent,WholeCommunity,"The resilience The resilience
to a species deletion perturbation (sensu Pimm 1980),",Yes,1-5 yrs,Temperature,Temperature,hours-days (<1 week),,,experimental heat treatment,,,1-5 yrs,depends on which species remain - diversity/functional redundancy did not necessarily lead to resilience,,,,,INTERTIDAL - NOT REALLLY ALGAL FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Marani, DêAlpaos, Lanzoni, Carniello and Rildo (2007) Biologically-controlled multiple equilibria of tidal landforms and the fate of the Venice lagoon. Jourl of Geophysical Research (? this should be Geophysical Research Letters)",1,Jo,Modelling,Yes,Italy,"Venice Lagoon, Adriatic",Resistance,No,HabitatFormingSpp,,No,> 100 yrs,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,> 100 yrs,Man made alterations,,Since the 16th century,,,,,,,,,A coupled biological-physical model was presented to explain the historic loss of saltmarshes in Venice Lagoon. Paper did not mention resilience specifically. I defined lack of resilience as conversion from saltmarsh to tidal flats (this is a totally saltmarsh-centric point of view). Disappearance of saltmarsh was attributed to reduction of sediment supply (via levee building and channel redirection) and SLR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,Munroe Estuar. Coast. Mar. Sci. 135:209,1,Fio,Modelling,Yes,USA,Atlantic,Recovery,Yes,SessileInverts,,,,Storms,Storms,months (<1 yr),Salinity,months (<1 yr),"Aug, Sept 2011",2011,2011,6-10 yrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Mumby et al. 2007 ture,1,Jennifer,Modelling,Yes,,Caribbean,Recovery,Context-Dependent,WholeCommunity,,No,,>2 stressors,Storms,Ongoing,Fishing,,,,,,"Hurricanes, disease, fishing",Conservation and magement measures,,Additional local anthropogenic stressors,,Recovery depends on level wanted. 20% more realistic than 40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,Mumby et al. 2007 PS,1,Jennifer,Modelling,Yes,Bahamas,Caribbean,Resistance,Yes,WholeCommunity,N/A,No,1-5 yrs,not climatic,Fishing,ongoing,,,disturbance removed since 1986 (MPAs),,1986,,Recruitment (and parrotfish grazing),Adequate recruitment/connectivity,Beneficial species interactions,Lack of adequate magement,,study focused mainly on recruitment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Toohey, B.D., Kendrick, G.A., Harvey, E.S. 2007. Disturbance and reef topography maintain high local diversity in Ecklonia radiata kelp forests. Oikos 116: 1618-1630. 61. Toohey, B.D., Kendrick, G.A., Harvey, E.S. 2007. Disturbance and reef topography maintain high local diversity in Ecklonia radiata kelp forests. Oikos 116: 1618-1630.",1,Jennifer,NotRelevant,Yes,Australia,Indian Ocean,Recovery,Yes,HabitatFormingSpp,,No,1-5 yrs,not climatic,not climatic,,,,experimental clearing,2001,2001,months (<1 yr),,,,,,Not really about resilience - study on effects of clearing on diversity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,Munroe.etal.2013b,1,Robin,NotRelevant,Yes,United States,Delaware Bay,Resistance,Yes,HabitatFormingSpp,,No,decades (21-100 yrs), not climatic,non climatic (fishing),decades (21-100 yrs),Disease,decades (21-100 yrs),,,,,,Conservation and magement measures,Physical setting,Lack of adequate magement,,_ this paper used a modeling approach to examine the effects of MPA placement and fishing mortality on the genetic connectivity of four oyster populations in Delaware Bay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,Kirwan et al. 2010. Limits on the adaptability of coastal marshes to rising sea level. Geophysical Research Letters,1,Jo,NotRelevant,Yes,"United States, Italy, Netherlands and Belgium","Atlantic, Adriatic, North Sea",Resistance,Yes,HabitatFormingSpp,,,> 100 yrs,Sea level rise/hydrodymic change,Sea level rise/hydrodymic change,> 100 yrs,,,,,,,"High tidal range of saltmarsh, high sediment availability",Physical setting,,Other,,"This study is based on numerical models, not on empirical observed data.",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoralReef,"McClahan TR, Graham J, Darling ES (2014) Coral reefs in a crystal ball: predicting the future from the vulnerability of corals and reef fishes to multiple stressors. Current Opinion in Environmental Sustaibility",1,Jennifer,NotRelevant,Yes,Kenya,Western Indian Ocean,Resistance,Yes,HabitatFormingSpp,N/A,No,,Temperature,Temperature,1-5 yrs,Fishing,Ongoing,1997-1998 / ongoing,1997,1998,,,,,,,Paper provides a model of predicting coral reef response based on 2 stressors: fishing/bleaching - but is not about recovery per se.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagrass,Silva et al. PlosOne (2013),1,Diana,NotRelevant,Yes,Portugal,Ria Formosa,Resistance,Context-Dependent,HabitatFormingSpp,,No,1-4 weeks (<1 month),not climatic,non climatic (experimental light reduction,1-4 weeks (<1 month),,,2013,2013,2013,1-4 weeks (<1 month),"constitutive arrangement of pigment pool, carbohydrate storage and allocation strategy",Other,,Other,,This paper conducts an empirical study testing the effects of shade on two species of seagrasses (C. nodosa and Z. marina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,Powell.etal.2009,1,Robin,NotRelevant,Yes,United States,Delaware Bay,ResistanceAndRecovery,No,HabitatFormingSpp,,No,decades (21-100 yrs),not climatic,non climatic (fishing),decades (21-100 yrs),Disease,decades (21-100 yrs),1953 - 2001; study period,1953,,,"Overfishing may stabilize the stable state with a lower carrying capacity. Rates of natural mortality and recruitment contribute to the uncertainty of the magnitude of surplus reduction, but are probably secondary to overfishing in the maintence of the lower state.",Conservation and magement measures,,Lack of adequate magement,,"This paper compares a 54 year time series of oyster abundances to model predictions of multiple stables. The time series suggests two states with different carrying capacities: From 1953-1968 and 1987 - 2005, K ~ 12e9 individuals, but from 1969 - 1986, K ~ 2e9 individuals. The authors discuss the 'resistance' of the lower K state to transition towards the higher K state, and suggest that overfishing may stabilize the lower K state. A model with high natural morality and low recruitment is thought to really prevent the transition to the higher K state (desirable from a fishing magement perspective). Take home message: Most fisheries magement assumes that a single stable state exists, with a single carry capacity. The oyster fishery in New Jersey may exhibit two states, with different Kês. Ideally, magement would want to •pushê the system into the higher K state, but current overfishing may •lockê the system into the lower K state. High rates of tural mortality and low recruitment may contribute to hysteresis. It is worth noting that this modeling exercise is based on a time series that exhibits the low K state, then the high K state, and then low state. SoÄnot much replication. Also, from a strict stable states perspective, it is not clear that there wasnêt a shift in the abiotic conditions (which would not make it ASS).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Bosire, Aquatic Botany, 2008. Functiolity of restored mangroves: A review",1,Paul,NotRelevant,Yes,Many,Many,Restoration,Yes,HabitatFormingSpp,,,,,,,,,,,,,"Active magement, weeding of competitors at early life stages, surrounding community diversity, nursery germition",,,Other,,"Exhaustive review on the ecosystem structure and function of restored mangrove forests, and closes with many reccomendations for successfully restoring stands where elimintated.  Factors preventing: propagule limitation, inadequate assessment of cause of initial loss/ lack of recovery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Tellus B 2013, 65, 18981",1,Jennifer,NotRelevant,Yes,India,Bay of Bengal,,,HabitatFormingSpp,,No,1-5 yrs,,,,,,,,,,,,,,,Model on co2 in mangroves - not about reslience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OysterReef,Powell; J. Mar. Res. 70:505,2,Fio,NotRelevant,Yes,USA,Atlantic,Recovery,Yes,SessileInverts,,,,not climatic,not climatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Schiel et al 2004. Ecology 85:1833,1,Laura,NotRelevant,Yes,USA,Pacific,Resistance,Context-Dependent,WholeCommunity,,No,11-20 yrs,not climatic,not climatic,11-20 yrs,,,since May 1985,,,,,,,,,This is a study about predicting changes from rising sea temperatures. No focus on resilience. They used an 18-year sampling program around the thermal outfall of a power-generating station. They obsreved significant community-wide changes in 150species of algae and invertebrates relative to adjacent control areas experiencing turaltemperatures. Key results were that after a sustained rise in sea-water temperature the great majority of nearshore spe-cies changed in abundance and whole communities changed in character.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"Quintana et al, XD, Jourl of Plankton Research, 1998",1,Jo,NotRelevant,Yes,Spain,Mediterranean,,,WholeCommunity,,No,1-5 yrs,not climatic,non climatic (nutrient),Multiple scales,Storms,,Storm events of various intensity and general water flow regulation,,,,,,,,,The paper sought to explain variations in zooplankton communities based on correlation to climatic events and closure of water inflow. No specific mention of recovery or resilience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Foster, M.S. and Schiel, DR. US Fish and Wildlife 1985",1,Jennifer,NotRelevant,No,USA,Pacific,,,,,,,,,,,,,,,,,,,,,description of kelp communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Wernberg, T., Russell, B.D., Moore, P.J., Ling, S.D., Smale, D.A., Campbell, A., Coleman, M.A., Steinberg, P.D., Kendrick, G.A., Connell, S.D. 2011. Impacts of climate change in a global hotspot for temperate marine biodiversity and ocean warming. Jourl of Experimental Marine Biology and Ecology 400: 7-16.",1,Jennifer,NotRelevant,Yes,Australia,Indian Ocean,,,,,,,,,,,,,,,,,,,Review of climate change impacts in Australia (not kelps per se),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Dayton.etal.1998,1,Kerry,NotRelevant,Yes,USA,Pacific,,,,N/A,No,,,,,,,,,,,,,,,,This is more of a review about kelp forests and factors that affect them. Would be really good for putting all the kelp papers in context.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
